town,year,month,rain_mm,grid_lat,grid_lon,source
pagar_alam,1982,1,396.42,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,2,277.95,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,3,154.26,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,4,176.32,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,5,170.02,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,6,159.42,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,7,62.72,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,8,92.0,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,9,2.72,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,10,62.68,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,11,36.8,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1982,12,380.2,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,1,230.12,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,2,268.98,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,3,233.22,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,4,313.36,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,5,210.51,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,6,142.41,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,7,87.58,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,8,167.83,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,9,48.66,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,10,345.84,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,11,231.29,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1983,12,350.16,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,1,335.08,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,2,222.03,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,3,376.37,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,4,398.8,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,5,247.64,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,6,88.79,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,7,205.64,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,8,120.84,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,9,157.33,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,10,203.76,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,11,332.53,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1984,12,262.98,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,1,305.88,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,2,254.34,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,3,177.98,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,4,258.02,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,5,219.53,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,6,147.22,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,7,211.64,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,8,134.43,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,9,186.23,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,10,318.2,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,11,286.33,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1985,12,188.32,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,1,342.89,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,2,195.97,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,3,365.72,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,4,328.12,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,5,152.19,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,6,307.45,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,7,66.21,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,8,150.89,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,9,408.94,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,10,253.96,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,11,367.92,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1986,12,324.68,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,1,377.67,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,2,232.28,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,3,278.02,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,4,370.21,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,5,177.13,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,6,250.22,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,7,58.65,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,8,40.62,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,9,6.65,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,10,88.29,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,11,199.94,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1987,12,332.9,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,1,439.05,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,2,183.27,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,3,298.28,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,4,278.15,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,5,185.67,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,6,111.66,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,7,73.43,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,8,214.54,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,9,313.11,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,10,235.54,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,11,301.48,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1988,12,249.93,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,1,379.19,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,2,293.03,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,3,237.48,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,4,171.84,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,5,163.56,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,6,182.4,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,7,164.64,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,8,113.26,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,9,232.9,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,10,227.73,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,11,240.67,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1989,12,414.14,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,1,300.27,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,2,458.73,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,3,242.0,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,4,270.15,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,5,104.33,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,6,153.49,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,7,102.55,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,8,189.31,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,9,155.61,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,10,161.32,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,11,127.56,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1990,12,326.85,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,1,379.12,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,2,182.03,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,3,76.21,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,4,156.04,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,5,229.78,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,6,148.01,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,7,116.15,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,8,77.03,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,9,13.85,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,10,98.83,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,11,346.53,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1991,12,367.92,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,1,174.68,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,2,220.75,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,3,220.1,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,4,301.51,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,5,230.75,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,6,42.6,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,7,187.35,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,8,199.17,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,9,215.69,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,10,308.15,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,11,183.45,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1992,12,266.63,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,1,321.34,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,2,225.61,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,3,307.2,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,4,272.42,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,5,378.68,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,6,94.67,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,7,88.63,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,8,90.71,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,9,143.21,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,10,207.04,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,11,291.98,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1993,12,339.51,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,1,325.75,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,2,225.22,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,3,242.46,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,4,208.95,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,5,92.4,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,6,45.46,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,7,0.0,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,8,0.0,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,9,0.0,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,10,18.23,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,11,76.98,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1994,12,426.6,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1995,1,342.12,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1995,2,385.57,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1995,3,389.12,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
pagar_alam,1995,4,285.64,-4.5,103.5,GPCC Monitoring Product v2020 1deg (PSL)
