country,source,variable,series,unit,crop_year,year,value
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2001/2002,2001,24400.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2002/2003,2002,41600.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2003/2004,2003,23600.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2004/2005,2004,34300.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2005/2006,2005,26000.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2006/2007,2006,36000.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2007/2008,2007,27650.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2008/2009,2008,40500.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2009/2010,2009,33000.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2010/2011,2010,41800.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2011/2012,2011,34700.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2012/2013,2012,42100.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2013/2014,2013,41800.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2014/2015,2014,37300.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2015/2016,2015,36100.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2016/2017,2016,45600.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2017/2018,2017,39500.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2018/2019,2018,49700.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2019/2020,2019,42000.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2020/2021,2020,49700.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2021/2022,2021,36400.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2022/2023,2022,39800.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2023/2024,2023,44900.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2024/2025,2024,44500.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2025/2026,2025,38000.0
Brazil,USDA / CONAB,production,Production Arabica,1000 60-kg bags,2026/2027,2026,47500.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2001/2002,2001,10700.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2002/2003,2002,12000.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2003/2004,2003,9600.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2004/2005,2004,9300.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2005/2006,2005,10100.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2006/2007,2006,10700.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2007/2008,2007,11450.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2008/2009,2008,12800.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2009/2010,2009,11800.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2010/2011,2010,12700.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2011/2012,2011,14500.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2012/2013,2012,15500.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2013/2014,2013,15400.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2014/2015,2014,17000.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2015/2016,2015,13300.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2016/2017,2016,10500.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2017/2018,2017,12600.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2018/2019,2018,16800.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2019/2020,2019,18500.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2020/2021,2020,20200.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2021/2022,2021,21700.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2022/2023,2022,22800.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2023/2024,2023,21400.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2024/2025,2024,21000.0
Brazil,USDA / CONAB,production,Production Robusta,1000 60-kg bags,2025/2026,2025,25000.0
