year,crop_year,onoff,rain_mg,temp_mg,rain_es,temp_es,rain_sp,temp_sp,rain_pr,temp_pr,rain_others,temp_others,rain_arabica,temp_arabica,rain_robusta,temp_robusta,rain_total,temp_total
1998,1998/1999,1,1330.0,21.7,885.0,24.9,1430.0,22.3,1943.0,21.5,1076.0,26.0,1311.96,22.32,941.5,25.23,1193.41,23.25
1999,1999/2000,0,1453.0,20.8,1052.0,24.0,1688.0,21.4,1437.0,21.1,1488.0,24.3,1450.72,21.39,1180.98,24.09,1364.4,22.25
2000,2000/2001,1,1485.0,20.4,1467.0,23.1,1481.0,21.1,1332.0,21.3,1582.0,24.0,1483.63,20.99,1501.02,23.37,1489.19,21.75
2001,2001/2002,0,1146.0,21.5,1112.0,24.4,1189.0,22.1,1449.0,21.5,1475.0,24.2,1182.26,22.0,1219.39,24.34,1194.14,22.75
2002,2002/2003,1,1428.0,21.1,1508.0,23.8,1485.0,21.8,1448.0,22.0,1462.0,24.5,1444.84,21.68,1494.39,24.01,1460.7,22.42
2003,2003/2004,0,1383.0,21.1,966.0,24.4,1534.0,21.8,1488.0,21.4,1505.0,24.5,1379.37,21.7,1125.45,24.43,1298.12,22.57
2004,2004/2005,1,1533.0,20.4,1447.0,23.3,1564.0,21.1,1296.0,21.4,1431.0,24.3,1513.76,21.03,1442.27,23.6,1490.88,21.85
2005,2005/2006,0,1374.0,20.9,1567.0,23.7,1396.0,21.5,1376.0,21.8,1249.0,24.8,1384.52,21.5,1472.93,24.03,1412.81,22.31
2006,2006/2007,1,1220.0,20.9,1137.0,23.7,1357.0,21.5,1223.0,21.8,1538.0,24.3,1251.66,21.47,1255.63,23.88,1252.93,22.24
2007,2007/2008,0,1367.0,20.9,1311.0,23.6,1594.0,21.5,1421.0,21.8,1311.0,24.4,1389.04,21.47,1311.0,23.84,1364.07,22.23
2008,2008/2009,1,1296.0,20.9,942.0,24.2,1345.0,21.5,1423.0,21.4,1040.0,25.0,1260.35,21.54,970.99,24.44,1167.76,22.47
2009,2009/2010,0,1521.0,20.9,1416.0,23.9,1548.0,21.4,1536.0,21.5,1368.0,24.6,1505.94,21.48,1401.8,24.11,1472.62,22.32
2010,2010/2011,1,1125.0,21.3,1093.0,24.4,1355.0,21.7,1824.0,21.2,1196.0,24.8,1182.72,21.84,1123.47,24.52,1163.76,22.7
2011,2011/2012,0,1383.0,20.8,1344.0,23.5,1343.0,21.5,1485.0,21.0,1178.0,24.7,1364.92,21.38,1294.89,23.85,1342.51,22.17
2012,2012/2013,1,1253.0,20.7,1275.0,23.5,1354.0,21.4,1318.0,21.9,939.0,25.0,1248.9,21.36,1175.6,23.94,1225.44,22.18
2013,2013/2014,0,1260.0,21.2,996.0,24.4,1405.0,21.6,1617.0,21.4,1232.0,25.0,1267.98,21.78,1065.82,24.58,1203.29,22.67
2014,2014/2015,1,862.0,21.9,1228.0,24.0,814.0,22.8,1493.0,21.7,1304.0,24.6,940.38,22.36,1250.48,24.18,1039.61,22.94
2015,2015/2016,0,1043.0,22.0,823.0,24.8,1214.0,22.3,1594.0,21.9,1064.0,25.3,1068.64,22.49,894.3,24.95,1012.85,23.28
2016,2016/2017,1,1109.0,22.2,678.0,25.5,1338.0,22.2,2208.0,20.8,888.0,26.3,1129.15,22.7,740.12,25.74,1004.66,23.67
2017,2017/2018,0,1018.0,21.5,1077.0,24.0,1127.0,22.0,1458.0,21.4,1108.0,25.0,1059.49,22.0,1086.17,24.3,1068.03,22.74
2018,2018/2019,1,1158.0,21.5,1194.0,24.1,1194.0,22.2,1725.0,21.6,1031.0,25.2,1178.77,22.06,1145.78,24.43,1168.21,22.81
2019,2019/2020,0,1231.0,21.9,1143.0,24.8,1330.0,22.3,1233.0,22.6,1271.0,25.2,1238.81,22.44,1180.87,24.92,1220.27,23.23
2020,2020/2021,1,1200.0,21.6,1277.0,24.2,1090.0,22.6,1176.0,22.8,1093.0,25.6,1184.56,22.26,1222.57,24.61,1196.72,23.01
2021,2021/2022,0,860.0,22.2,960.0,24.5,698.0,23.1,942.0,22.4,966.0,25.6,858.34,22.74,961.77,24.83,891.44,23.41
2022,2022/2023,1,1398.0,21.0,1182.0,24.1,1266.0,21.8,1323.0,21.9,1540.0,24.5,1370.15,21.63,1287.91,24.22,1343.83,22.46
2023,2023/2024,0,1210.0,21.5,1222.0,24.4,1296.0,21.8,1169.0,21.9,1214.0,25.1,1220.44,22.04,1219.63,24.61,1220.19,22.86
2024,2024/2025,1,781.0,23.8,822.0,25.9,824.0,24.5,1042.0,24.0,961.0,26.8,811.9,24.27,863.12,26.17,828.29,24.88
2025,2025/2026,0,914.0,22.4,1074.0,24.7,983.0,23.0,996.0,22.8,821.0,26.4,932.87,22.95,999.15,25.2,954.08,23.67
