year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2008,-1.7,-1.6,-1.4,-1.0,-0.8,-0.5,-0.2,-0.2,-0.3,-0.4,-0.6,-0.9
2009,-1.0,-0.9,-0.7,-0.4,0.0,0.2,0.4,0.4,0.5,0.9,1.3,1.5
2010,1.4,1.1,0.7,0.1,-0.5,-1.0,-1.2,-1.4,-1.5,-1.6,-1.6,-1.5
2011,-1.4,-1.2,-1.0,-0.8,-0.5,-0.3,-0.3,-0.4,-0.7,-0.9,-1.0,-1.0
2012,-0.8,-0.6,-0.5,-0.4,-0.3,0.0,0.3,0.4,0.4,0.2,0.0,-0.3
2013,-0.5,-0.6,-0.5,-0.4,-0.5,-0.5,-0.5,-0.4,-0.4,-0.2,-0.2,-0.3
2014,-0.4,-0.4,-0.1,0.1,0.2,0.0,-0.1,-0.1,0.1,0.4,0.5,0.6
2015,0.5,0.5,0.6,0.7,0.9,1.0,1.3,1.5,1.8,2.0,2.2,2.3
2016,2.1,1.8,1.3,0.7,0.1,-0.4,-0.7,-0.8,-0.9,-1.0,-1.0,-0.9
2017,-0.6,-0.4,-0.2,-0.1,0.0,0.0,-0.2,-0.5,-0.6,-0.8,-1.0,-1.1
2018,-1.1,-1.0,-0.9,-0.7,-0.3,0.0,0.1,0.2,0.4,0.6,0.8,0.8
2019,0.7,0.6,0.6,0.5,0.4,0.2,0.0,-0.1,0.0,0.2,0.3,0.2
2020,0.1,0.1,0.0,-0.3,-0.5,-0.7,-0.8,-0.8,-1.2,-1.4,-1.5,-1.4
2021,-1.3,-1.2,-1.1,-0.9,-0.7,-0.6,-0.6,-0.8,-0.9,-1.1,-1.2,-1.2
2022,-1.2,-1.1,-1.2,-1.3,-1.2,-0.9,-0.9,-0.9,-1.1,-1.1,-1.1,-1.0
2023,-0.9,-0.7,-0.5,-0.3,0.0,0.3,0.5,0.8,1.0,1.3,1.4,1.4
2024,1.1,0.8,0.4,0.0,-0.3,-0.4,-0.5,-0.6,-0.7,-0.8,-0.9,-1.0
2025,-1.1,-0.8,-0.7,-0.5,-0.5,-0.4,-0.4,-0.6,-0.8,-0.9,-1.0,-1.0
2026,-0.9,-0.8,-0.4,0.0,0.5,1.0,1.4,,,,,
