crop_year,year,index,enso_class,status,Robusta_prod,Robusta_prev,Robusta_change_pct,Arabica_prod,Arabica_prev,Arabica_change_pct,ES_rain_mm,ES_temp_c,MG_rain_mm,MG_temp_c
2008/09,2008,-1.70,La Nina,historical,12800.00,11450.00,11.79,40500.00,27650.00,46.47,942.00,24.20,1296.00,20.90
2009/10,2009,-1.00,La Nina,historical,11800.00,12800.00,-7.81,33000.00,40500.00,-18.52,1416.00,23.90,1521.00,20.90
2010/11,2010,1.50,El Nino normal,historical,12700.00,11800.00,7.63,41800.00,33000.00,26.67,1093.00,24.40,1125.00,21.30
2011/12,2011,-1.60,La Nina,historical,14500.00,12700.00,14.17,34700.00,41800.00,-16.99,1344.00,23.50,1383.00,20.80
2012/13,2012,-1.00,La Nina,historical,15500.00,14500.00,6.90,42100.00,34700.00,21.33,1275.00,23.50,1253.00,20.70
2013/14,2013,-0.60,La Nina,historical,15400.00,15500.00,-0.65,41800.00,42100.00,-0.71,996.00,24.40,1260.00,21.20
2014/15,2014,-0.40,Neutral,historical,17000.00,15400.00,10.39,37300.00,41800.00,-10.77,1228.00,24.00,862.00,21.90
2015/16,2015,0.60,El Nino normal,historical,13300.00,17000.00,-21.76,36100.00,37300.00,-3.22,823.00,24.80,1043.00,22.00
2016/17,2016,2.30,El Nino strong,historical,10500.00,13300.00,-21.05,45600.00,36100.00,26.32,678.00,25.50,1109.00,22.20
2017/18,2017,-1.00,La Nina,historical,12600.00,10500.00,20.00,39500.00,45600.00,-13.38,1077.00,24.00,1018.00,21.50
2018/19,2018,-1.10,La Nina,historical,16800.00,12600.00,33.33,49700.00,39500.00,25.82,1194.00,24.10,1158.00,21.50
2019/20,2019,0.80,El Nino normal,historical,18500.00,16800.00,10.12,42000.00,49700.00,-15.49,1143.00,24.80,1231.00,21.90
2020/21,2020,0.30,Neutral,historical,20200.00,18500.00,9.19,49700.00,42000.00,18.33,1277.00,24.20,1200.00,21.60
2021/22,2021,-1.50,La Nina,historical,21700.00,20200.00,7.43,36400.00,49700.00,-26.76,960.00,24.50,860.00,22.20
2022/23,2022,-1.20,La Nina,historical,22800.00,21700.00,5.07,39800.00,36400.00,9.34,1182.00,24.10,1398.00,21.00
2023/24,2023,-1.10,La Nina,historical,21400.00,22800.00,-6.14,44900.00,39800.00,12.81,1222.00,24.40,1210.00,21.50
2024/25,2024,1.40,El Nino normal,historical,21000.00,21400.00,-1.87,44500.00,44900.00,-0.89,822.00,25.90,781.00,23.80
2025/26,2025,-1.10,La Nina,historical,25000.00,21000.00,19.05,38000.00,44500.00,-14.61,1074.00,24.70,914.00,22.40
2026/27,2026,-1.00,La Nina,USDA estimate,24400.00,25000.00,-2.40,47500.00,38000.00,25.00,,,,
