episode,oni,phase,classe,campagne,year,onoff,arabica,arabica_yoy,arabica_anom,robusta,robusta_yoy,robusta_anom,total,total_yoy,total_anom,yield,yield_yoy,yield_anom,rain_mg,rain_mg_dev,temp_mg,temp_mg_dev,rain_es,rain_es_dev,temp_es,temp_es_dev,rain_sp,rain_sp_dev,rain_pr,rain_pr_dev
2004/05,0.70,El Nino,El Nino ordinaire,2005/06,2005,OFF,26000.00,-24.20,-2.20,10100.00,8.60,-1.45,36100.00,-17.20,-2.00,15.66,-21.91,-3.07,1374.00,178.58,20.90,-0.56,1567.00,407.50,23.70,-0.53,1396.00,141.46,1376.00,-31.29
2005/06,-0.90,La Nina,La Nina ordinaire,2006/07,2006,ON,36000.00,38.46,0.52,10700.00,5.94,-2.07,46700.00,29.36,-0.15,20.26,29.36,-4.13,1220.00,24.58,20.90,-0.56,1137.00,-22.50,23.70,-0.53,1357.00,102.46,1223.00,-184.29
2006/07,0.90,El Nino,El Nino ordinaire,2007/08,2007,OFF,27650.00,-23.19,-7.42,11450.00,7.01,1.00,39100.00,-16.27,-5.29,17.49,-13.65,-4.62,1367.00,171.58,20.90,-0.56,1311.00,151.50,23.60,-0.63,1594.00,339.46,1421.00,13.71
2007/08,-1.60,La Nina,La Nina forte,2008/09,2008,ON,40500.00,46.47,6.28,12800.00,11.79,9.64,53300.00,36.32,7.12,23.98,37.05,6.28,1296.00,100.58,20.90,-0.56,942.00,-217.50,24.20,-0.03,1345.00,90.46,1423.00,15.71
2008/09,-1.00,La Nina,La Nina ordinaire,2009/10,2009,OFF,33000.00,-18.52,1.55,11800.00,-7.81,-8.15,44800.00,-15.95,-0.99,20.83,-13.13,1.04,1521.00,325.58,20.90,-0.56,1416.00,256.50,23.90,-0.33,1548.00,293.46,1536.00,128.71
2009/10,1.50,El Nino,El Nino ordinaire,2010/11,2010,ON,41800.00,26.67,1.35,12700.00,7.63,-7.06,54500.00,21.65,-0.96,25.06,20.31,-2.00,1125.00,-70.42,21.30,-0.16,1093.00,-66.50,24.40,0.17,1355.00,100.46,1824.00,416.71
2010/11,-1.60,La Nina,La Nina forte,2011/12,2011,OFF,34700.00,-16.99,-3.17,14500.00,14.17,4.79,49200.00,-9.72,-1.14,22.88,-8.68,-1.52,1383.00,187.58,20.80,-0.66,1344.00,184.50,23.50,-0.73,1343.00,88.46,1485.00,77.71
2011/12,-1.00,La Nina,La Nina ordinaire,2012/13,2012,ON,42100.00,21.33,-1.35,15500.00,6.90,3.93,57700.00,17.28,0.30,27.41,19.78,1.89,1253.00,57.58,20.70,-0.76,1275.00,115.50,23.50,-0.73,1354.00,99.46,1318.00,-89.29
2014/15,1.00,El Nino,El Nino ordinaire,2015/16,2015,OFF,36100.00,-3.22,-3.00,13300.00,-21.76,-4.04,49400.00,-9.02,-3.26,23.86,-8.15,-3.01,1043.00,-152.42,22.00,0.54,823.00,-336.50,24.80,0.57,1214.00,-40.54,1594.00,186.71
2015/16,2.30,El Nino,El Nino fort,2016/17,2016,ON,45600.00,26.32,3.03,10500.00,-21.05,-29.74,56100.00,13.56,-5.80,27.10,13.56,-6.08,1109.00,-86.42,22.20,0.74,678.00,-481.50,25.50,1.27,1338.00,83.46,2208.00,800.71
2016/17,-1.00,La Nina,La Nina ordinaire,2017/18,2017,OFF,39500.00,-13.38,-0.30,12600.00,20.00,-14.63,52100.00,-7.13,-3.94,25.79,-4.83,-2.40,1018.00,-177.42,21.50,0.04,1077.00,-82.50,24.00,-0.23,1127.00,-127.54,1458.00,50.71
2017/18,-1.10,La Nina,La Nina ordinaire,2018/19,2018,ON,49700.00,25.82,4.04,16800.00,33.33,8.65,66500.00,27.64,5.23,32.28,25.16,5.42,1158.00,-37.42,21.50,0.04,1194.00,34.50,24.10,-0.13,1194.00,-60.54,1725.00,317.71
2018/19,0.80,El Nino,El Nino ordinaire,2019/20,2019,OFF,42000.00,-15.49,4.34,18500.00,10.12,3.86,60500.00,-9.02,4.21,29.66,-8.13,4.50,1231.00,35.58,21.90,0.44,1143.00,-16.50,24.80,0.57,1330.00,75.46,1233.00,-174.29
2019/20,-0.70,La Nina,La Nina ordinaire,2020/21,2020,ON,49700.00,18.33,9.57,20200.00,9.19,1.18,69900.00,15.54,6.86,33.29,12.24,3.52,1200.00,4.58,21.60,0.14,1277.00,117.50,24.20,-0.03,1090.00,-164.54,1176.00,-231.29
2020/21,-1.50,La Nina,La Nina ordinaire,2021/22,2021,OFF,36400.00,-26.76,-9.05,21700.00,7.43,4.77,58100.00,-16.88,-4.62,28.91,-13.16,-3.12,860.00,-335.42,22.20,0.74,960.00,-199.50,24.50,0.27,698.00,-556.54,942.00,-465.29
2021/22,-1.30,La Nina,La Nina ordinaire,2022/23,2022,ON,39800.00,9.34,-17.83,22800.00,5.07,8.12,62600.00,7.75,-9.40,30.99,7.21,-9.85,1398.00,202.58,21.00,-0.46,1182.00,22.50,24.10,-0.13,1266.00,11.46,1323.00,-84.29
2022/23,-1.10,La Nina,La Nina ordinaire,2023/24,2023,OFF,44900.00,12.81,22.63,21400.00,-6.14,-5.35,66300.00,5.91,12.45,32.66,5.39,7.06,1210.00,14.58,21.50,0.04,1222.00,62.50,24.40,0.17,1296.00,41.46,1169.00,-238.29
2023/24,1.40,El Nino,El Nino ordinaire,2024/25,2024,ON,44500.00,-0.89,-3.24,21000.00,-1.87,-9.04,65500.00,-1.21,-5.31,34.82,6.62,-0.11,781.00,-414.42,23.80,2.34,822.00,-337.50,25.90,1.67,824.00,-430.54,1042.00,-365.29
