country,series,phase,n,mean_anomaly_pct,median_anomaly_pct,mean_yoy_pct,share_below_trend,years
Brazil,Production Arabica,El Nino,7,-2.53,-2.20,-7.72,57.14,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
Brazil,Production Arabica,La Nina,10,0.33,0.11,7.86,50.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Arabica,neutral,5,8.07,9.57,24.54,40.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Production Arabica,El Nino,5,-4.41,-3.24,-21.41,80.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Production Arabica,El Nino fort,2,2.19,2.19,26.49,0.00,2010/11 2016/17
Brazil,Production Arabica,La Nina,8,0.03,0.11,6.14,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Arabica,La Nina forte,2,1.56,1.56,14.74,50.00,2008/09 2011/12
Brazil,Production Arabica,El Nino (|ONI| >= 1),4,-3.10,-0.95,2.21,50.00,2003/04 2010/11 2016/17 2024/25
Brazil,Production Arabica,La Nina (|ONI| >= 1),7,0.22,-1.35,10.29,57.14,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Brazil,Production Robusta,El Nino,7,-7.30,-7.06,-1.37,71.43,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
Brazil,Production Robusta,La Nina,10,0.97,4.35,9.07,40.00,2006/07 2008/09 2009/10 2011/12 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Robusta,neutral,5,7.34,2.25,5.59,20.00,2002/03 2004/05 2013/14 2014/15 2020/21
Brazil,Production Robusta,El Nino,5,-2.86,-1.45,0.77,60.00,2003/04 2005/06 2007/08 2019/20 2024/25
Brazil,Production Robusta,El Nino fort,2,-18.40,-18.40,-6.71,100.00,2010/11 2016/17
Brazil,Production Robusta,La Nina,8,-0.59,0.93,8.09,50.00,2006/07 2009/10 2012/13 2017/18 2018/19 2021/22 2022/23 2023/24
Brazil,Production Robusta,La Nina forte,2,7.21,7.21,12.98,0.00,2008/09 2011/12
Brazil,Production Robusta,El Nino (|ONI| >= 1),4,-13.62,-8.85,-8.82,100.00,2003/04 2010/11 2016/17 2024/25
Brazil,Production Robusta,La Nina (|ONI| >= 1),7,4.94,4.79,10.36,14.29,2008/09 2011/12 2012/13 2018/19 2021/22 2022/23 2023/24
Brazil,Production Total,El Nino,7,-3.92,-5.29,-6.65,85.71,2003/04 2005/06 2007/08 2010/11 2016/17 2019/20 2024/25
