country,series,year,observed,fitted
Brazil,Production Arabica,2001,24400,30604.2
Brazil,Production Arabica,2002,41600,34483.5
Brazil,Production Arabica,2003,23600,26067.1
Brazil,Production Arabica,2004,34300,39172.3
Brazil,Production Arabica,2005,26000,29196.8
Brazil,Production Arabica,2006,36000,36641.5
Brazil,Production Arabica,2007,27650,30735.4
Brazil,Production Arabica,2008,40500,37918.4
Brazil,Production Arabica,2009,33000,31086.7
Brazil,Production Arabica,2010,41800,39129.8
Brazil,Production Arabica,2011,34700,33922.3
Brazil,Production Arabica,2012,42100,40232.2
Brazil,Production Arabica,2013,41800,35628.2
Brazil,Production Arabica,2014,37300,39221.8
Brazil,Production Arabica,2015,36100,41096.4
Brazil,Production Arabica,2016,45600,40256.7
Brazil,Production Arabica,2017,39500,37325.2
Brazil,Production Arabica,2018,49700,43594.9
Brazil,Production Arabica,2019,42000,38497.7
Brazil,Production Arabica,2020,49700,45553.4
Brazil,Production Arabica,2021,36400,40616.2
Brazil,Production Arabica,2022,39800,48460.1
Brazil,Production Arabica,2023,44900,42668.5
Brazil,Production Arabica,2024,44500,42959.7
Brazil,Production Arabica,2025,38000,45672.9
Brazil,Production Arabica,2026,47500,48143.5
Brazil,Production Robusta,2001,10700,8237.47
Brazil,Production Robusta,2002,12000,10429.5
Brazil,Production Robusta,2003,9600,11319.8
Brazil,Production Robusta,2004,9300,8618.99
Brazil,Production Robusta,2005,10100,10580.7
Brazil,Production Robusta,2006,10700,10857.2
Brazil,Production Robusta,2007,11450,11282.1
Brazil,Production Robusta,2008,12800,12350.4
Brazil,Production Robusta,2009,11800,13372.8
Brazil,Production Robusta,2010,12700,11841.1
Brazil,Production Robusta,2011,14500,14205.9
Brazil,Production Robusta,2012,15500,15216.7
Brazil,Production Robusta,2013,15400,15529.2
Brazil,Production Robusta,2014,17000,15641.4
Brazil,Production Robusta,2015,13300,17669.9
Brazil,Production Robusta,2016,10500,12585.1
Brazil,Production Robusta,2017,12600,13169.6
Brazil,Production Robusta,2018,16800,16406.3
Brazil,Production Robusta,2019,18500,18699.3
Brazil,Production Robusta,2020,20200,19038.2
Brazil,Production Robusta,2021,21700,20848.4
Brazil,Production Robusta,2022,22800,21672.2
Brazil,Production Robusta,2023,21400,22411.7
Brazil,Production Robusta,2024,21000,20748.3
Brazil,Production Robusta,2025,25000,21775.7
Brazil,Production Robusta,2026,24400,26170.3
Brazil,Production Total,2001,35100,38775.7
Brazil,Production Total,2002,53600,42041.1
Brazil,Production Total,2003,33200,35147.6
Brazil,Production Total,2004,43600,48449.5
Brazil,Production Total,2005,36100,34837.8
Brazil,Production Total,2006,46700,47159.9
Brazil,Production Total,2007,39100,43330.1
Brazil,Production Total,2008,53300,54220.4
Brazil,Production Total,2009,44800,47452.9
Brazil,Production Total,2010,54500,57884.9
Brazil,Production Total,2011,49200,50099
Brazil,Production Total,2012,57700,56792.6
Brazil,Production Total,2013,57200,50609.5
Brazil,Production Total,2014,54300,53357
Brazil,Production Total,2015,49400,52581.8
Brazil,Production Total,2016,56100,54961.4
Brazil,Production Total,2017,52100,54551.7
Brazil,Production Total,2018,66500,63602
Brazil,Production Total,2019,60500,58736.4
Brazil,Production Total,2020,69900,67206.7
Brazil,Production Total,2021,58100,58599
Brazil,Production Total,2022,62600,66329.6
Brazil,Production Total,2023,66300,61033.4
Brazil,Production Total,2024,65500,64835.9
Brazil,Production Total,2025,63000,68427.1
