country,series,year,forecast,lo80,hi80,lo95,hi95,unit,model
Brazil,Production Arabica,2027,43110.1,37648.4,48571.8,34757.2,51463,1000 60-kg bags,"ARMA(2,0)"
Brazil,Production Arabica,2028,48836.3,43105.4,54567.1,40071.7,57600.9,1000 60-kg bags,"ARMA(2,0)"
Brazil,Production Arabica,2029,45839.1,39496.5,52181.6,36138.9,55539.2,1000 60-kg bags,"ARMA(2,0)"
Brazil,Production Arabica,2030,49626,43096.3,56155.7,39639.7,59612.3,1000 60-kg bags,"ARMA(2,0)"
Brazil,Production Arabica,2031,47797.4,41081.4,54513.4,37526.1,58068.7,1000 60-kg bags,"ARMA(2,0)"
Brazil,Production Robusta,2027,22541.7,20675.3,24408.1,19687.2,25396.1,1000 60-kg bags,"ARMA(0,2)"
Brazil,Production Robusta,2028,22880.4,20104.8,25656,18635.5,27125.3,1000 60-kg bags,"ARMA(0,2)"
Brazil,Production Robusta,2029,24224.3,21331.5,27117.1,19800.2,28648.4,1000 60-kg bags,"ARMA(0,2)"
Brazil,Production Robusta,2030,24795.3,21902.5,27688,20371.2,29219.4,1000 60-kg bags,"ARMA(0,2)"
Brazil,Production Robusta,2031,25366.2,22473.5,28259,20942.1,29790.4,1000 60-kg bags,"ARMA(0,2)"
Brazil,Production Total,2027,70056.4,65508.8,74603.9,63101.5,77011.3,1000 60-kg bags,"ARMA(3,1)"
Brazil,Production Total,2028,76039.1,70749.7,81328.5,67949.6,84128.5,1000 60-kg bags,"ARMA(3,1)"
Brazil,Production Total,2029,72496.1,67142.9,77849.2,64309.1,80683,1000 60-kg bags,"ARMA(3,1)"
Brazil,Production Total,2030,75985.9,69369.4,82602.4,65866.9,86104.9,1000 60-kg bags,"ARMA(3,1)"
Brazil,Production Total,2031,72873.9,66211.5,79536.3,62684.6,83063.1,1000 60-kg bags,"ARMA(3,1)"
Brazil,Area total,2027,2349.69,2258.95,2440.43,2210.92,2488.46,1000 ha,"ARMA(0,0)"
Brazil,Area total,2028,2344.02,2253.28,2434.75,2205.24,2482.79,1000 ha,"ARMA(0,0)"
Brazil,Area total,2029,2338.34,2247.6,2429.08,2199.57,2477.11,1000 ha,"ARMA(0,0)"
Brazil,Area total,2030,2332.67,2241.93,2423.41,2193.9,2471.44,1000 ha,"ARMA(0,0)"
