country,series,variable,unit,source,n_obs,first_year,last_year,n_interpolated,adf_p_level,adf_p_diff,d_reason,status,p,d,q,trend,model,aic,aicc,bic,loglik,ljungbox_lag,ljungbox_p,rmse_insample,mape_insample,backtest_h,backtest_mape_arma,backtest_mape_naive,equation,mu,beta,phi1,phi2,sigma2,c,b,theta1,theta2,phi3
Brazil,Production Arabica,production,1000 60-kg bags,USDA / CONAB,26,2001,2026,0,0.000134532,1.58447e-29,ADF p = 0.000 on levels,ok,2,0,0,ct,"ARMA(2,0)",518.576,521.576,524.866,-254.288,6,0.909077,4327.19,10.0359,3,8.60875,8.17682,X_t = 2.792e+04 + 563.5·t − 0.318·X_{t-1} + 0.397·X_{t-2} + ε_t,29992.5,611.714,-0.317798,0.396587,1.81627e+07,27920.2,563.518,,,
Brazil,Production Robusta,production,1000 60-kg bags,USDA / CONAB,26,2001,2026,0,0.99439,0.118535,ADF p = 0.994 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,0,0,2,ct,"ARMA(0,2)",463.846,466.846,470.136,-226.923,6,0.847054,1514.1,7.94932,3,11.9773,9.53328,X_t = 7667 + 571·t + ε_t + 1.101·ε_{t-1} + 0.437·ε_{t-2},7666.52,570.959,,,2.12104e+06,7666.52,570.959,1.1007,0.436639,
Brazil,Production Total,production,1000 60-kg bags,USDA / CONAB,26,2001,2026,0,0.818051,0.0255522,ADF p = 0.818 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,3,0,1,ct,"ARMA(3,1)",512.348,518.57,521.154,-249.174,6,0.694529,3759.57,5.53616,3,5.28593,4.74935,X_t = 3.384e+04 + 1134·t + 0.359·X_{t-1} + 0.395·X_{t-2} − 0.685·X_{t-3} + ε_t − 0.970·ε_{t-1},37556.5,1219.14,0.359457,0.395452,1.23858e+07,33836.4,1134.21,-0.970373,,-0.685244
Brazil,Area total,area,1000 ha,USDA / CONAB,26,2001,2026,0,0.424197,0.00852608,ADF p = 0.424 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,0,0,0,ct,"ARMA(0,0)",301.3,302.391,305.075,-147.65,6,0.834544,70.8038,2.0286,3,5.9744,10.2619,X_t = 2503 − 5.673·t + ε_t,2502.85,-5.67276,,,5013.13,2502.85,-5.67276,,,
Brazil,Area non-bearing,area,1000 ha,USDA / CONAB,26,2001,2026,0,0.187711,0.013509,ADF p = 0.188 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",285.247,285.421,286.466,-141.624,6,0.855082,69.8258,15.223,3,25.4028,25.4028,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,4873.27,,,,,
Brazil,Area bearing,area,1000 ha,USDA / CONAB,26,2001,2026,0,0.316055,1.72905e-09,ADF p = 0.316 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,0,0,0,ct,"ARMA(0,0)",308.855,309.946,312.629,-151.427,6,0.489763,81.8745,2.67421,3,5.9728,7.23503,X_t = 2258 − 11.79·t + ε_t,2258.02,-11.7931,,,6707.74,2258.02,-11.7931,,,
Brazil,Trees non-bearing,trees,million trees,USDA / CONAB,29,1998,2026,0,0.593337,0.0100975,ADF p = 0.593 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",381.052,381.205,382.384,-189.526,7,0.327623,210.574,15.5595,3,6.27032,6.27032,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,44293.8,,,,,
Brazil,Trees bearing,trees,million trees,USDA / CONAB,29,1998,2026,0,0.0601148,1.34511e-07,ADF p = 0.060 on levels,ok,0,1,0,t,"ARIMA(0,1,0)",396.144,396.624,398.809,-196.072,7,0.186386,266.038,3.64619,3,3.86312,7.39089,∇X_t = 131.3 + ε_t   with ∇X_t = X_t − X_{t-1},,131.286,,,70647.7,131.286,,,,
Brazil,Trees total,trees,million trees,USDA / CONAB,24,2003,2026,0,0.977291,2.4795e-07,ADF p = 0.977 on levels; d=1 gave an MA unit root (over-differencing) -> level model kept,ok,1,0,0,ct,"ARMA(1,0)",335.507,337.613,340.22,-163.754,6,0.653233,225.65,2.64375,3,5.10308,7.06499,X_t = 3247 + 48.7·t + 0.449·X_{t-1} + ε_t,5819.51,88.3752,0.448926,,48966.2,3246.66,48.7013,,,
Brazil,Yield (production / bearing area),yield,bags/ha,USDA / CONAB,26,2001,2026,0,0.937017,1.0533e-06,ADF p = 0.937 on levels,ok,1,1,1,n,"ARIMA(1,1,1)",126.695,127.838,130.351,-60.3474,6,0.440881,3.15866,10.4487,3,6.87717,7.22214,∇X_t = −0.974·∇X_{t-1} + ε_t + 0.487·ε_{t-1}   with ∇X_t = X_t − X_{t-1},,,-0.974074,,6.7644,,,0.487463,,
Colombia,Production Arabica,production,1000 60-kg bags,USDA,29,1998,2026,0,0.38301,0.000113992,ADF p = 0.383 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",484.755,484.908,486.087,-241.377,7,0.578957,1341.68,9.30965,3,6.87997,6.87997,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,1.79801e+06,,,,,
Colombia,Area total,area,1000 ha,USDA,29,1998,2026,0,8.18225e-07,0.000286196,ADF p = 0.000 on levels,ok,3,0,0,c,"ARMA(3,0)",226.347,228.956,233.184,-108.174,7,0.191948,14.9334,1.05582,3,0.261262,0,X_t = 71.38 + 1.265·X_{t-1} + 0.090·X_{t-2} − 0.443·X_{t-3} + ε_t,809.137,,1.26481,0.0895074,88.41,71.3776,,,,-0.442528
Colombia,Area non-bearing,area,1000 ha,USDA,29,1998,2026,0,5.06159e-07,8.19928e-05,ADF p = 0.000 on levels,ok,2,0,0,ct,"ARMA(2,0)",209.739,212.348,216.575,-99.8694,7,0.4547,10.8291,5.17809,3,1.41373,0,X_t = 67.76 + 0.7002·t + 1.275·X_{t-1} − 0.824·X_{t-2} + ε_t,124.214,1.27463,1.27461,-0.823928,51.8422,67.7569,0.700174,,,
Colombia,Area bearing,area,1000 ha,USDA,29,1998,2026,0,5.43774e-25,3.52895e-05,ADF p = 0.000 on levels,ok,2,0,0,ct,"ARMA(2,0)",249.698,252.307,256.535,-119.849,7,0.0796555,18.7514,1.57786,3,2.81565,0,X_t = 78.51 − 0.5243·t + 1.621·X_{t-1} − 0.728·X_{t-2} + ε_t,741.923,-4.90447,1.62137,-0.728286,200.802,78.5121,-0.524346,,,
Colombia,Trees total,trees,million trees,USDA,29,1998,2026,0,0.706613,3.65061e-06,ADF p = 0.707 on levels,ok,0,1,0,n,"ARIMA(0,1,0)",342.638,342.792,343.97,-170.319,7,0.991739,106.047,0.769109,3,0,0,∇X_t = ε_t   with ∇X_t = X_t − X_{t-1},,,,,11238.4,,,,,
