date,table,unit,unit_label,arabica_day,conilon_day,soluble_day,total_day,arabica_cum,conilon_cum,soluble_cum,total_cum,arabica_prev,conilon_prev,soluble_prev,total_prev
2026-09-04,certificates,minas,REDEX and EADI (MINAS GERAIS),966,0,0,966,33232,0,0,33232,20625,0,0,20625
2026-09-04,certificates,others,OTHERS,4066,0,35,4101,7260,2078,9139,18477,19390,5200,11308,35898
2026-09-04,certificates,rio,RIO DE JANEIRO,4187,1734,0,5921,46750,4116,7798,58664,79854,5388,4160,89402
2026-09-04,certificates,salvador,SALVADOR,0,0,0,0,7694,0,0,7694,1280,986,0,2266
2026-09-04,certificates,santos,SANTOS,54939,16666,40,71645,355900,26066,23406,405372,236214,11052,33169,280435
2026-09-04,certificates,total,TOTALS,65103,29353,75,94531,459336,199941,40343,699620,361607,34113,61428,457148
2026-09-04,certificates,vitoria,VICTORY,945,10953,0,11898,8500,167681,0,176181,4244,11487,12791,28522
2026-09-04,customs,minas,REDEX and EADI (MINAS GERAIS),491,0,0,491,5674,0,0,5674,14131,0,0,14131
2026-09-04,customs,others,OTHERS,0,0,0,0,846,892,558,2296,9123,866,4256,14245
2026-09-04,customs,rio,RIO DE JANEIRO,3320,1734,0,5054,14040,1734,1528,17302,79532,3948,4160,87640
2026-09-04,customs,santos,SANTOS,13195,0,0,13195,113214,3333,647,117194,210833,11052,7886,229771
2026-09-04,customs,total,TOTALS,17951,5067,0,23018,134719,22706,2733,160158,313939,22860,16302,353101
2026-09-04,customs,vitoria,VICTORY,945,3333,0,4278,945,16747,0,17692,320,6994,0,7314
2026-09-04,shipment,others,OTHERS,0,0,0,0,846,892,558,2296,1003,866,4256,6125
2026-09-04,shipment,rio,RIO DE JANEIRO,3320,1734,0,5054,14040,1734,1528,17302,79412,4615,4160,88187
2026-09-04,shipment,santos,SANTOS,14631,3333,0,17964,119833,20080,647,140560,233524,17379,7886,258789
2026-09-04,shipment,total,TOTALS,17951,5067,0,23018,134719,22706,2733,160158,313939,22860,16302,353101
